" Tag 1 "," Tag 2 " , Similarity
"scaring greatSoundtrack davidLynch angeloBadalamenti thriller","art house",0.25993019270997947
"scaring greatSoundtrack davidLynch angeloBadalamenti thriller","comedy",0.08664339756999316
"Neil Jordan","Irvin Kershner",0.01973751442809512
"Neil Jordan","crime",0.05878462435703541
"scaring greatSoundtrack davidLynch angeloBadalamenti thriller","romantic",0.08664339756999316
"scaring greatSoundtrack davidLynch angeloBadalamenti thriller","love this movie",0.25993019270997947
"MUTANTS","END OF THE WORLD",0.0026246716642328322
"16.01.06","26.02.06",0.019660012725325596
"16.01.06","01.02.05",0.02283958694807764
"16.01.06","29.03.06",0.010759972206947577
"sexual fantasy","teacher student relationship",0.011179333068250011
"teacher student relationship","Drive-In",4.6829819019007145E-4
"teacher student relationship","Queen Elizabeth",0.0011829932454912166
"Queen Elizabeth","adultry",0.017784830725640695
"Queen Elizabeth","Wachowski Brothers",0.014047818525352727
"Ang Lee","martial arts",0.27031007207210955
"smart kids","artist",0.014022215430396846
"26.02.06","01.02.05",0.019660012725325596
"26.02.06","29.03.06",0.010759972206947577
"IN LIBRARY","netwatch",1.9381008149416203
"terrible","wedding",0.03006248042600451
"terrible","arch",0.21576155433883565
"Great Adaptations","World War I",7.708371015428722E-4
"terrible","lame",0.21576155433883565
"UFOS","out from prison",6.748373006872077E-4
"END OF THE WORLD","gloomy",0.002055051583783914
"chick flick","dance",0.2878761275284956
"chick flick","religious theme",0.07004392766950678
"chick flick","meg ryan",0.36651629274966196
"adultry","Wachowski Brothers",0.008892415362820347
"01.02.05","29.03.06",0.009830006362662798
"curious","funny",0.30179593715958447
"friends","mute",4.5498436655841206E-4
"curious","music",0.30179593715958447
"Cool but freaky","violence",0.34657359027997264
"Don Cheadle","WWII",0.008372544553062035
"Don Cheadle","Snoop Dogg",0.012729656758128873
"remake of a french film","haunted house",0.02567862664053764
"9/11","aviation",0.27031007207210955
"Great dialogue","Hilarious",0.24751963807553964
"netflix","murder",0.21576155433883565
"flash back","Benicio Del Toro",0.35937524037701774
"Funny as hell","amazing",0.3675044019336294
"Funny as hell","Monty Python",0.34657359027997264
"road trip","quirky good",0.24626725245045883
"road trip","American history",0.034088497867206156
"road trip","brothers",0.3631276544516587
"WWII","voyeurism",0.0021382883806044754
"setting:Chicago","villain:The Scarecrow",0.0018592936924671387
"WWII","Coen Brothers",0.004457605877560951
"road trip","california",0.3611918412977808
"netflix","adultery",0.21576155433883565
"formulaic","pointless",0.029205545802116168
"formulaic","violently stupid",0.035232912589593955
"netflix","netflixbacklist",1.073796830138887
"WWII","War",0.5493061443340548
"imperialism","gloomy",9.989206401009364E-4
"Irvin Kershner","crime",0.038954077630174236
"gloomy","drab",0.018551725262914185
"fountain of youth","Darren Aronofsky",0.5353679821083517
"voyeurism","Coen Brothers",0.0027635237053664874
"dance","black",0.006814997865584177
"like the first","excelent!!!",0.27031007207210955
"drab","WOMEN FRIENDSHIP'S",0.008015421538792603
"drab","ESCAPE FROM PRISON",0.005164049053673839
"WOMEN FRIENDSHIP'S","ESCAPE FROM PRISON",0.002315166357648949
"madness","funny",0.020730603086731567
"songwriting","melodramatic",0.01092061013005421
"too nice","controversial",0.21576155433883565
"too nice","historically inaccurate",0.21576155433883565
"snakes","orcs",0.006458484332085363
"discovery","rocket",0.3543499047627984
"Steve Carell","funny",0.24413606414846883
"Razzie nominee: worst actor","boat",0.0011698053495433928
"disappointing","weak story",0.2986265782046758
"boat","Classic",0.06108604879161034
"Darren Aronofsky","hip hop montage",0.34657359027997264
"Alberta","Brian Aldiss",0.0034074989327920885
"bad guy good","eva mendez",0.13117180078686086
"Coen Brothers","John Candy",0.018794141101214103
"Coen Brothers","crime",0.9253165314200853
"Coen Brothers","gangster",0.36651629274966196
"GENDER-BENDING","REINCARNATION",6.826755440169833E-4
"John Candy","Sir John Candy",3.2958368660043296
"one of the greatest scripts of the last 10 years","owned",0.36651629274966196
"neil simon","artist",8.974671520550167E-4
"funny","Oscar Nominee",0.16665960847389508
"funny","Children",0.4243456660799857
"funny","music",0.1834840265072062
"funny","real-life cartoon",0.29144631955236805
"funny","simpsons",0.3631276544516587
"funny","God",0.08664339756999316
"funny","will farell",0.30649537425959444
"funny","nascar",0.30649537425959444
"better than the remake","vivid characters",0.07127857833168802
"better than the remake","underwater",0.043598095869061285
"thrilling end","slow starter",0.34657359027997264
"pointless","violently stupid",0.029205545802116168
"pointless","moronic",0.36651629274966196
"Peter Jackson","Children",0.02048862907460092
"occult","exorcism",0.40546510810816433
"haunted house","Post apocalyptic",0.0034074989327920885
"haunted house","Oscar Nominee",0.007223834671017204
"seen at the cinema","Star Trek",2.128766716081596
"seen at the cinema","Sacha Baron Cohen",1.5429130598319696
"good will hunting","inspiring",0.21576155433883565
"Post apocalyptic","post-apocalyptic",0.13212915413765
"Post apocalyptic","time travel",0.13212915413765
"SERVANTS AND EMPLOYERS","LIFE UNDER OCCUPATION",7.172084463508588E-4
"Post apocalyptic","video game adaptation",2.0154645061401237
"Post apocalyptic","future",0.13212915413765
"Post apocalyptic","end of the world",0.13212915413765
"Post apocalyptic","twist ending",0.15415067982725833
"Gay","london",0.21576155433883565
"Gay","adolescent gays",0.21576155433883565
"iraq","caper",0.27031007207210955
"Monty Python","Fun",0.06656668362975954
"fat women","ice",0.01838791773581379
"brain","intellectualness",0.0013250212506912078
"Believer","Emanuelle Seigner",0.3579322767129623
"crime","interrogation",0.0775852781260708
"crime","homesteading",0.0036120201261941494
"crime","popularity",0.003668076109758092
"crime","great music",0.10845411954768211
"crime","sailing",0.041395376490971886
"crime","book",1.055040737910679
"crime","scandal",0.011568244192176105
"crime","Tom Hanks",0.0039179223260708195
"crime","vampires",0.18477440572272477
"crime","adventure",0.16845819396091466
"crime","Bangkok",0.3138200412708387
"crime","drugs",0.31350605872348175
"crime","drama",0.4378773892751655
"Ellen Page","Diane Keaton",0.021695827825218957
"crime","action packed",0.4569533025072402
"spying","Tch̩ky Karyo",0.10830424696249145
"boss","episodic",8.512963759841576E-4
"episodic","interrogation",0.0016372164066407024
"Jack the Ripper","19th century",0.06251963478316477
"modern fantasy","surrealism",0.28277856510853494
"PRIVATE EYES","intimate",0.0017135186707834004
"book-learned","great music",3.875417338058897E-4
"book-learned","outpatients",0.001447357410324828
"great music","clever",0.3579322767129623
"Tim Allen as a hitman","Excellent story",0.1405019296981053
"genetics","aliens",0.016317726983017183
"blaxploitation","music",0.035469632101400445
"blaxploitation","Charlie Chaplin",0.08391599745691408
"bob dylan","music",0.33332880452642805
"Quite Romantic","book",0.28768207245178085
"warm","MIDLIFE CRISES",0.004369508301580193
"Saturn Award (Best Writing)","Milos Forman",0.026101320435534363
"Quite Romantic","Comedy",0.34657359027997264
"bond","007",1.0484196739686436
"HIGH SCHOOL LIFE","bright",0.002302558056092823
"Children","Fantasy",2.705803789637378
"book","Milos Forman",0.3026827560957572
"book","stephen king",0.33423942150583863
"jim jarmusch","owned",0.39887711341589815
"bright","nocturnal",7.705822078899812E-4
"book","Comedy",0.6931471805599453
"beat generation","avant garde",0.17851484105136767
"beat generation","jack kerouac",0.17851484105136767
"Donald Sutherland","Humorous",0.20417511663241117
"authority","aviation",0.0024537540503765487
"aviation","nocturnal",4.953306135928949E-4
"aviation","World War II",0.6289335114324216
"aviation","Nudity (Topless - Brief)",0.34657359027997264
"Milos Forman","Tom Hanks",0.007291004399061659
"just terrible","only three characters with any stand-out qualities or background story",0.3662040962227032
"Tom Hanks","Danny Elfman",0.015639865873059898
"Tom Hanks","vampires",0.021957073847439466
"Tom Hanks","Jennifer Connelly",0.02141546328599721
"Tom Hanks","Michael J. Fox",0.016570550653043706
"Tom Hanks","Tim Allen",0.128755032994728
"Tom Hanks","Ben Affleck",0.011249342204440863
"Tom Hanks","My DVDs",0.30422622409455524
"Tom Hanks","US history",0.053675570702383005
"To See with Rachel","movie to see",1.9334770586542118
"climate","MT",0.10072914187658631
"gonzo","journalism",0.3061060685979011
"gonzo","drugs",0.3061060685979011
"middle east","activist",0.02759247704671009
"Danny Elfman","vampires",0.02740348079360634
"Danny Elfman","Jennifer Connelly",0.04283092657199442
"Danny Elfman","Ben Affleck",0.022498684408881725
"Danny Elfman","My DVDs",0.21017924839295488
"sequels","music",0.0010431752990312485
"music","Excellent story",0.21576155433883565
"music","biopics",0.02689720103932476
"music","adam sandler",0.3197804502488129
"music","rock and roll",0.3146616642562408
"music","Charlie Chaplin",0.086900909226789
"music","love",0.3306195292201721
"music","loss",0.17503748350931062
"music","black and white",0.3146616642562408
"music","true story",-0.015418864702451398
"music","photography - simply excellent movie!",0.21576155433883565
"mind fuck","matrix",0.3218875824868201
"near future","aliens",0.01570668818384577
"SINGLE PARENTS","DOCTORS AND PATIENTS",0.005464471674421324
"boxing drama","down and out",0.27031007207210955
"vampires","Jennifer Connelly",0.02828853689454787
"vampires","Ben Affleck",0.022498684408881725
"vampires","My DVDs",0.21017924839295488
"setting:Afghanistan","author:Khaled Hosseini",0.016155133822528287
"Jennifer Connelly","Ben Affleck",0.01468587900871619
"Jennifer Connelly","My DVDs",0.21017924839295488
"NA","marathons",0.27031007207210955
"19.01.06","07.02.06",0.020979655259508078
"19.01.06","09.05.06",0.010759972206947577
"19.01.06","04.03.06",0.01141979347403882
"19.01.06","08.02.06",0.012349759318323598
"19.01.06","21.08.05",0.012349759318323598
"dolphins","free air diving",0.3678548769739927
"dolphins","greek islands",0.3091737778232852
"dolphins","summer vacation",0.03583897092564865
"dolphins","archaeology",0.03583897092564865
"dolphins","nude beach",0.03583897092564865
"Michael J. Fox","Christopher Lloyd",0.1220680320742344
"archive footage","PG",0.013621121038820386
"setting:Africa","setting:Jungle",0.012048843649411094
"Ben Affleck","My DVDs",0.07480649494871283
"DOCTORS AND PATIENTS","FILMMAKING",0.0039314016333110175
"My DVDs","Kate Winslet",0.007224516775791512
"Oscar (Best Foreign Language Film)","Oscar (Best Actor in a Leading Role)",0.3677212204218422
"Oscar (Best Foreign Language Film)","Golden Palm",8.18298044939428
"Corey Feldman","Jason Bateman",0.34657359027997264
"generation X","Romance",0.1699006291458506
"Mafia","Fantasy",0.024279543253862876
"Mafia","gangster",0.28591964379278484
"adam sandler","drew barrymore",0.03219345954647877
"abortion","rebel",0.011473880207749988
"love/hate","mary steenburgen",0.0036411206670381984
"yakuza","Landscapes",0.07824046010856292
"acrobat","rock and roll",5.472166831366975E-4
"submarine","president",0.0183279061589814
"submarine","World War II",0.5041365184404979
"submarine","hunted",0.2716950224577554
"Shakespeare","Stephen King",0.17669896569066038
"rock and roll","Jack Black",0.3631276544516587
"rock and roll","fucking awesome",0.3631276544516587
"UK","religous",0.019670817457777687
"TV","Michel Gondry",0.008024621388177557
"TV","Orson Welles",0.015298639512878874
"TV","Richard Marquand",0.013834866559419796
"Oscar (Best Editing)","aliens",0.024648813356469977
"Oscar (Best Editing)","favela",0.0034461658700426626
"marooned","aliens",0.058758671206076356
"aliens","Kate Winslet",0.00953728622959064
"weed","psychiatry",0.24033731187229493
"aliens","adventure",0.15193463066162882
"aliens","zombies",0.21576155433883565
"optimism","World War II",0.3342394215058387
"aliens","archaeology",0.15193463066162882
"aliens","plot point:solving riddles/puzzles",0.15193463066162882
"weed","new york",0.24033731187229493
"weed","hip-hop",0.24033731187229493
"lighting","belivability",0.1591323331522466
"idealism","week",0.002318137603391842
"idealism","good soundtrack",0.13768656249299988
"demons","Keanu Reeves",0.30649537425959444
"idealism","politics",1.1661898066861371
"07.02.06","09.05.06",0.009830006362662798
"07.02.06","04.03.06",0.01141979347403882
"07.02.06","08.02.06",0.012349759318323598
"07.02.06","21.08.05",0.012349759318323598
"SF","industrial progress",0.033513695276829944
"SF","time travel",1.0952265371881758
"slasher","Wes Craven",0.34657359027997264
"slasher","spoof",0.34657359027997264
"jena malone","drew barrymore",0.09332170124700649
"author:John Grisham","character based on real person:Hunter S. Thompson",0.009267512775378657
"author:John Grisham","innocent person on the run",0.011252055691521962
"character based on real person:Hunter S. Thompson","innocent person on the run",0.0014936536391743952
"Sundance Grand Jury Prize: Dramatic 2001","Sundance Grand Jury Prize: Dramatic 2006",0.02076050483252792
"Best Performance:  Diane Keaton as Annie Hall","Best Performance:  Bette Davis as Margo Channing",0.013923489478724285
"self discovery","ssss",0.3029589222865284
"self discovery","based on a true story",0.28762689692740007
"self discovery","Alaska",0.28762689692740007
"self discovery","non-linear",0.28762689692740007
"self discovery","nature wildlife",0.28762689692740007
"self discovery","fall of superheros",0.21576155433883565
"historic Austrialian Outback","From an epic ballad",0.3662040962227032
"self discovery","superheros",0.21576155433883565
"Uma Thurman","Philip K. Dick",0.09347862060415618
"israel","Madness",7.879399452431576E-4
"hilarious","Terrific Cast",0.18310754626705578
"israel","politics",0.4378773892751655
"Philip K. Dick","surrealism",0.2879695656771679
"Philip K. Dick","ghost story",0.06883568884574769
"river","When the Going Gets Tough!",0.3662040962227032
"Christopher Nolan","PG-13",0.13544183091388245
"surrealism","Fantasy",0.051044956347453624
"surrealism","Michel Gondry",0.03601392761437181
"surrealism","Vergiss mein Nicht (German title)",0.3662040962227032
"surrealism","Futuristmovies.com",-0.0653886168674484
"surrealism","smoking",0.041907243961491605
"surrealism","Saturn Award (Best Science Fiction Film)",0.18053668007348067
"college","violence",0.18643908117295854
"surrealism","time travel",0.134326868036151
"surrealism","virtual reality",0.041907243961491605
"surrealism","Nudity (Topless)",0.041907243961491605
"surrealism","cyberpunk",0.041907243961491605
"surrealism","sci-fi",0.3567707920711233
"surrealism","New Year 1999",0.041907243961491605
"surrealism","Jim Carrey",0.18053668007348067
"surrealism","alcohol consume",0.041907243961491605
"Irish","Suspense",0.08355985537645967
"Irish","Colin Farrell",1.024491268669172
"Amy Adams","John C. Reilly",0.10830424696249145
"Fantasy","loop",0.15206360847832678
"Fantasy","Romance",0.8645003620445584
"Fantasy","Mystery",0.37593421592555565
"Fantasy","Horror",0.37593421592555565
"violence","India",0.1577173368694205
"violence","photography",0.3631276544516587
"Monica Bellucci","Paul Giamatti",0.12805942205520873
"Monica Bellucci","Eamonn Walker",0.08778896724436024
"mini coopers","heist",0.21237800307558297
"hacking","Halle Berry",0.13872190994788564
"hacking","phreaking",0.27031007207210955
"09.05.06","04.03.06",0.009830006362662798
"09.05.06","08.02.06",0.012349759318323598
"09.05.06","21.08.05",0.012349759318323598
"long","gangster",0.008305708651359125
"04.03.06","08.02.06",0.009830006362662798
"04.03.06","21.08.05",0.012349759318323598
"holiday","Poland",0.0065479409634198425
"H.P. Lovecraft","gun fu",0.005151704500573535
"Comic Book","Nicholas Cage",0.4641595769171919
"crap","pirates",0.30649537425959444
"crap","BORING!",0.30649537425959444
"street race","spy",-0.08664339756999316
"ghost story","David Lynch",0.03589548694513391
"ghost story","Pixar",0.03959377069284093
"ghost story","Vincent Price",0.2451901481186278
"critique of capitalism","corporate greed",0.3342394215058387
"street race","cars",0.25993019270997947
"critique of capitalism","anti-Western",0.3342394215058387
"street race","action",0.34657359027997264
"street race","racing",0.25993019270997947
"street race","franchise",0.08664339756999316
"street race","james bond",0.08664339756999316
"Toronto Film Festival Winner 1980","Toronto Film Festival Winner 1985",0.007327649966534492
"superhuman","blindness",0.20205829154466046
"but Emmy Rossum is terrific","a slight film",0.3342394215058387
"new jersey","Directorial Debut",0.223940500682236
"pg","animation",0.3218875824868201
"LOOKING FOR LOVE","GHOST STORIES",0.002730399290792467
"Fameke Jasson","alan Cumming",0.5100451324485937
"Fameke Jasson","Halle Berry",0.6691736745222969
"Fameke Jasson","Professor Xavier",0.48390012636348634
"Fameke Jasson","Ian Mckellen",0.78686970466308
"Fameke Jasson","Magneto",0.2648378191956621
"Fameke Jasson","Hugh Jackman",0.6452001684846485
"homoerotic","Classical Studies",0.27031007207210955
"Toronto Film Festival Winner 1997","Toronto Film Festival Winner 1995",0.007327649966534492
"Toronto Film Festival Winner 1997","Toronto Film Festival Winner 1994",0.008309444839848861
"Toronto Film Festival Winner 1995","Toronto Film Festival Winner 1994",0.007327649966534492
"Arizona","Vincent Gallo",0.3197804502488129
"sports hero","alcoholism",0.34657359027997264
"sports hero","ski jumping",0.34657359027997264
"India","brothers",0.034656475251355345
"India","Bollywood",0.34657359027997264
"love","surreal",0.3177076383015326
"love","brilliant",0.24033731187229493
"love","witty",0.24033731187229493
"Michel Gondry","Orson Welles",0.023981461467099587
"Michel Gondry","Richard Marquand",0.011332530167506636
"Michel Gondry","surreal",0.30649537425959444
"Michel Gondry","Charlie Kaufman",0.8948306917824057
"love","moving",0.24033731187229493
"Michel Gondry","quirky",0.30649537425959444
"love","seen more than once",0.24033731187229493
"waking up","hack the system",0.29375226827858475
"Yugoslavia","World War II",0.3543499047627984
"Orson Welles","Richard Marquand",0.008830193775593477
"plot twist","Will Smith",0.3662040962227032
"Vergiss mein Nicht (German title)","Futuristmovies.com",0.041907243961491605
"Vergiss mein Nicht (German title)","smoking",0.041907243961491605
"Vergiss mein Nicht (German title)","Saturn Award (Best Science Fiction Film)",0.18053668007348067
"Vergiss mein Nicht (German title)","time travel",0.134326868036151
"Vergiss mein Nicht (German title)","virtual reality",0.041907243961491605
"smart","Brilliant",0.3917549516090717
"Vergiss mein Nicht (German title)","Nudity (Topless)",0.041907243961491605
"Vergiss mein Nicht (German title)","cyberpunk",0.041907243961491605
"Vergiss mein Nicht (German title)","sci-fi",0.3567707920711233
"Vergiss mein Nicht (German title)","New Year 1999",0.041907243961491605
"Vergiss mein Nicht (German title)","Jim Carrey",0.18053668007348067
"SNL alums","Based on a TV show",0.008041474675228146
"Vergiss mein Nicht (German title)","alcohol consume",0.041907243961491605
"Bruce Lee","trilogy",0.011292348289215763
"bittersweet","compassionate",0.1979305029032769
"bittersweet","Scarlett Johannson",0.17851484105136767
"bittersweet","Melancholic",0.17851484105136767
"bittersweet","Bill Murray",0.17851484105136767
"myan","mexico",0.32654814716784386
"08.02.06","21.08.05",0.010759972206947577
"vivid characters","underwater",0.3487847669524903
"mexico","Tornado",0.02120263536200091
"keira knightley","adventure",0.21576155433883565
"Film Noir","Sean Connery",0.007039505780835867
"foggy","rourke great",0.28456799773288216
"charles bronson","brothers",0.050766840745760974
"Doris Day","Romance",4.816889690693986
"one of the most romantic kisses in films","Romance",-0.03646431135879092
"one of the most romantic kisses in films","romance",0.3218875824868201
"one of the most romantic kisses in films","teens",0.5051457288616511
"LONE WOLVES","TREASURE HUNTS",0.004841201346066351
"adapted from:comic","Halle Berry",0.006212957645789403
"meditation about war","Sean Connery",0.0071614480438892915
"Kung Fu","animation",0.2566017261305131
"walken","indy",0.3662040962227032
"Kung Fu","sword fighting",0.3197804502488129
"stoner","marijuana",0.34657359027997264
"Sean Connery","Halle Berry",0.00978510977604954
"David Lynch","Pixar",0.00690833550801433
"David Lynch","Vincent Price",0.049038029623725575
"David Lynch","surreal",0.5682673954467808
"David Lynch","Laura Dern",0.3611918412977808
"lesbian character","fatih akin",0.3543499047627984
"lesbian character","lesbian sex scene",0.27031007207210955
"logic complexity","alternate universe",0.709649445444698
"bomb expert","fbi",0.1147250936727381
"and is my all time western.","Character driven",0.34657359027997264
"and is my all time western.","star studded action",0.34657359027997264
"and is my all time western.","magnificent",0.34657359027997264
"play within a movie","playwright:Shakespeare",0.003724112846041229
"trilogy","roald dahl",0.052225369725343807
"trilogy","Jesus",0.30649537425959444
"Romance","Classic",0.06094679053098774
"Romance","Adventure",0.24413606414846883
"Romance","romance",0.18325814637483098
"Romance","time travel",0.27031007207210955
"TREASURE HUNTS","WOMEN IN JEOPARDY",0.0014267303590611102
"Kali Martial Art and Romance","Morals",0.25993019270997947
"Romance","teens",0.6437751649736402
"witch","adventure",0.12915206046688052
"sessao da tarde","eua",0.022390073908866052
"sessao da tarde","adventure",0.3119567841932047
"biblical","brilliant",0.3631276544516587
"biblical","must-see",0.3631276544516587
"crude humor","high school",0.028286415919180408
"post-apocalyptic","zombies",0.17562991359842225
"post-apocalyptic","Futuristmovies.com",0.27031007207210955
"literary adaptation","South America",0.033392744474725344
"post-apocalyptic","time travel",0.277987164150759
"misunderstood","underrated",0.7330325854993239
"post-apocalyptic","future",0.277987164150759
"CRUMBLING MARRIAGES","sensual",0.002252449586143692
"post-apocalyptic","end of the world",0.277987164150759
"post-apocalyptic","twist ending",0.555974328301518
"Depressing","best movie ever",0.21576155433883565
"sensual","WANDERLUST",0.0071440806758816386
"WANDERLUST","menacing",0.0015269166544573973
"greek islands","summer vacation",0.3583897092564865
"neorealism","sad",0.36651629274966196
"greek islands","archaeology",0.3583897092564865
"greek islands","nude beach",0.3583897092564865
"Fiction","Bewitched",0.35685687149237616
"Fiction","Nicole Kidman",0.35685687149237616
"redbox","danberry",0.10855027158751217
"great doc","need to buy",0.18442404478803645
"fable","historical",0.008925742052568391
"CAV","CLV",2.598869434957619
"Funniest Movies","great humour",0.3543499047627984
"Funniest Movies","video game testers",0.34657359027997264
"eua","adventure",0.17466237382821653
"california","sex",0.3543499047627984
"adventure","book was better",0.16587091294296577
"adventure","Bryan Singer",0.1862629004739306
"adventure","animation",0.5003569509911339
"adventure","hayao miyazaki",0.6681820288970279
"adventure","spike jones",0.03911697266725145
"adventure","history",0.37294752194342756
"adventure","limada",0.14637487398614626
"adventure","drama",0.36216713615401736
"adventure","action",0.36651629274966196
"prison break","prison escape",0.549774439124493
"South America","blindness",0.013662079095631609
"Classic","Mozart",0.03522307674285285
"Meg Ryan","New York City",0.4797959367061508
"unusual","fun",0.08405359406262275
"compassionate","whimsical",0.003037670219361493
"unusual","remake",0.11811663492093281
"historical","World War II",0.5612005619964369
"historical","journalism",0.33222834605436496
"historical","glbt",0.17124869239504564
"historical","Dustin Hoffman",-0.03497598674596392
"historical","true story",0.25993019270997947
"historical","history",0.02935876700320802
"historical","French",0.34657359027997264
"historical","Holocaust",0.17328679513998632
"cloning","Warsaw ghetto",0.001763705746281148
"historical","biopic",0.34657359027997264
"historical","20th century",0.34657359027997264
"stark","Sophia Loren",0.2716950224577554
"stark","black and white",0.2716950224577554
"whimsical","modern",0.3631276544516587
"gritty","visceral",0.10118458511484735
"propaganda","World War II",0.7158645534259246
"propaganda","animation",0.268653736072302
"propaganda","Lobbyism",0.3218875824868201
"Mozart","blindness",0.0058657280514210625
"Pixar","Vincent Price",0.03942917578697827
"Pixar","animation",4.565948879211404
"Pixar","dvd",0.46209812037329684
"bleak","TERRORISM",0.0479318274735488
"psychological","Mystery",0.09010335735736986
"Vincent Price","World War II",0.16313194076816206
"Vincent Price","Michael Mann",0.26758550064787856
"Suspense","Kick-Butt Women",0.32036894611168565
"Suspense","Colin Farrell",0.48827212829693767
"Arnold","surreal",0.08827927306522071
"Arnold","Arnold Schwarzenegger",0.27031007207210955
"vampire","Scotland",0.003179095409863547
"is it 5/5-worthy?","probably deserves at least as much as Shallow Grave...",0.049569884686998356
"DANGEROUS ATTRACTION","enigmatic",0.0023829501877592326
"Vincent Gallo","Christina Ricci",0.117540494290337
"Scotland","Oscar (Best Director)",0.00953728622959064
